layer,forget_score,retain_score,selectivity_score,forget_rank,retain_rank,selectivity_rank
0,0.15811092431567886,0.09867616727888162,0.05943475703679724,2,1,4
1,0.044456535980998524,-0.0062115717364576994,0.05066810771745622,5,10,5
2,-0.13476431961316848,0.003114029443850086,-0.13787834905701857,12,6,13
3,-0.06176121721796335,-0.07087025796977287,0.009109040751809516,8,14,7
4,-0.0299049707073209,-0.051592483276181156,0.021687512568860257,7,13,6
5,-0.1338057358525475,-0.0018258281243106467,-0.13197990772823687,11,7,12
6,-0.24372190831854823,-0.132543887497377,-0.11117802082117123,16,16,10
7,0.12124462250176293,0.012875215806161577,0.10836940669560136,3,3,2
8,-0.18212960046162152,0.04680049324724678,-0.2289300937088683,14,2,16
9,-0.22801128210267052,-0.01984439938860305,-0.20816688271406747,15,12,15
10,-0.14815808871207992,-0.003941363569538225,-0.1442167251425417,13,9,14
11,-0.12212851380195389,0.007408098068935942,-0.12953661187088983,10,4,11
12,0.005152576032969591,-0.0018493759484954353,0.007001951981465027,6,8,8
13,0.04497499973513186,-0.01713165235332781,0.06210665208845967,4,11,3
14,-0.0860835387284169,-0.0785827314391554,-0.007500807289261502,9,15,9
15,0.3439873227289354,0.006669070848147385,0.337318251880788,1,5,1
