method,alpha,forget_accuracy_percent,forget_drop_pp,forget_drop_ci95_low_pp,forget_drop_ci95_high_pp,retain_accuracy_percent,retain_drop_pp,retain_drop_ci95_low_pp,retain_drop_ci95_high_pp
baseline,0,53.90625,0.0,0.0,0.0,54.6875,0.0,0.0,0.0
top_forget,0.75,25.0,28.90625,21.09375,37.109375,28.515625,26.171875,18.359375,33.984375
top_selective,0.75,44.53125,9.375,3.125,16.015625,42.96875,11.71875,5.078125,18.369140624999947
bottom_forget,0.75,37.5,16.40625,9.755859375,23.4375,34.765625,19.921875,12.890625,26.953125
random_101,0.75,45.3125,8.59375,1.953125,15.234375,47.65625,7.03125,0.7714843750000006,13.28125
random_202,0.75,53.125,0.78125,-3.515625,5.46875,51.953125,2.734375,-2.34375,7.431640624999947
random_303,0.75,38.28125,15.625,7.421875,23.828125,37.890625,16.796875,8.984375,24.21875
random_404,0.75,45.703125,8.203125,1.5625,14.84375,43.75,10.9375,3.90625,17.96875
random_505,0.75,44.921875,8.984375,2.734375,15.234375,48.046875,6.640625,0.0,13.28125
random_mean,0.75,45.46875,8.437499999999998,3.828124999999999,13.67382812499999,45.859375,8.828124999999998,3.90625,13.515624999999998
